name	base_ingredient_1_name	base_ingredient_1_qty	base_ingredient_2_name	base_ingredient_2_qty	base_ingredient_3_name	base_ingredient_3_qty	base_ingredient_4_name	base_ingredient_4_qty	base_ingredient_5_name	base_ingredient_5_qty	base_ingredient_6_name	base_ingredient_6_qty	base_ingredient_7_name	base_ingredient_7_qty	base_ingredient_8_name	base_ingredient_8_qty	base_ingredient_9_name	base_ingredient_9_qty	base_ingredient_10_name	base_ingredient_10_qty	base_ingredient_11_name	base_ingredient_11_qty	base_ingredient_12_name	base_ingredient_12_qty	base_ingredient_13_name	base_ingredient_13_qty	base_ingredient_14_name	base_ingredient_14_qty	base_ingredient_15_name	base_ingredient_15_qty	base_ingredient_16_name	base_ingredient_16_qty	base_ingredient_17_name	base_ingredient_17_qty	base_ingredient_18_name	base_ingredient_18_qty	base_ingredient_19_name	base_ingredient_19_qty	base_ingredient_20_name	base_ingredient_20_qty	base_ingredient_21_name	base_ingredient_21_qty	base_ingredient_22_name	base_ingredient_22_qty	base_ingredient_23_name	base_ingredient_23_qty	base_ingredient_24_name	base_ingredient_24_qty	base_ingredient_25_name	base_ingredient_25_qty	base_ingredient_26_name	base_ingredient_26_qty	base_ingredient_27_name	base_ingredient_27_qty
Timeless Fire Staff Shard	Timeless Fire Staff Shard	1																																																				
Crate of Iron Armaments	Crate of Iron Armaments	1																																																				
Marauder Destroyer Boots of the Barbarian	Marauder Destroyer Boots of the Barbarian	1																																																				
Roasted Squash	Seasonings	1	Nut	1	Fish Oil	2	Squash	1	Milk	2																																												
Cooked Corn	Corn	1	Salt	1	Milk	2																																																
Blackened Ray-Finned Barb with Fondant Potatoes and Barley	Potato	1	Seasonings	1	Ray-Finned Barb	1	Nut	1	Fish Oil	2	Milk	2	Barley	1	Thyme	1																																						
Shipyard Sentinel Life Staff	Leathers	6	Jade Collar	10	Tier 4 Timber	12	Metals	5	Jade Talisman	1	Life Arcana	1																																										
Dynasty Storage Chest	Flux	45	Wood	180	Starmetal Ore	90	Iron Ore	360	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Wyrdwood	180	Sandpaper	90	Aged Wood	240	Green Wood	480	Greater Rune of Holding	1																														
Timeless Kite Shield Shard	Timeless Kite Shield Shard	1																																																				
Spaghetti Bolognese	Garlic	1	Onion	1	Oregano	1	Carrot	1	Tomato	1	Egg	1	Cooked Grain	2	Red Meat	1																																						
Seared Venison Steak	Salt	1	Venison	1	Milk	2	Peppercorn	1																																														
Reinforced Flawed Onyx Earring	Precious Metals	1	Trinket Hooks	1	Flawed Onyx	1	Life Mote	2	Trinket Gem Settings	1																																												
Padded Pristine Jasper Earring of the Soldier	Iron Battle Medal	10	Precious Metals	1	Solvent	54	Air Mote	440	Flawed Jasper	60	Trinket Hooks	1	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Covenant Excubitor Breastplate of the Occultist	Covenant Occultist Seal	1	Covenant Excubitor Breastplate of the Barbarian	1	Azoth	50																																																
Cut Topaz	Air Mote	15	Flawed Topaz	3	Solvent	4																																																
Grasping Light	Flux	27	Wood	60	Starmetal Ore	30	Iron Ore	120	Blessed Crucible	4	Wyrdwood	90	Sandpaper	45	Aged Wood	120	Green Wood	240	Scalecord	2	Platinum Ore	24	Silver Ore	64	Gold Ore	40	Life Mote	400																										
Summer Rasberry Dye	Magenta Pigment	2	Water	3	White Pigment	1																																																
Flawed Malachite	Flawed Malachite	1																																																				
Work Order: Basic Arcane Reactor	Work Order: Basic Arcane Reactor	1																																																				
Burnished Pristine Moonstone Ring of the Ranger	Rough Leather Beaded Straps	10	Solvent	54	Flawed Moonstone	60	Death Mote	440	Timeless Ring Shard	1	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																						
Runic Leather	Iron Hide	540	Refining Materials Tier 5	20	Masterwork Material Converter	1	Refining Materials Tier 3	700	Common Material Converter	35	Rawhide	320	Thick Hide	60																																								
Painted Rosewood Chest	Flux	45	Wood	180	Starmetal Ore	90	Iron Ore	360	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Wyrdwood	180	Sandpaper	90	Aged Wood	240	Green Wood	480																																
Simple Party Spread	Basic Party Spread	1																																																				
Sailor's Hammock	Refining Materials Tier 5	400	Masterwork Material Converter	20	Oil	8	Flux	105	Wood	420	Starmetal Ore	180	Iron Ore	720	Orichalcum Ore	120	Ironwood	240	Sandpaper	210	Wyrdwood	360	Aged Wood	480	Green Wood	960																												
Insulated Pristine Topaz Earring	Precious Metals	1	Trinket Hooks	1	Solvent	54	Air Mote	440	Flawed Topaz	60	Trinket Gem Settings	1																																										
Musket of Unseen Power	Orichalcum Ore	11800	Flux	700	Wood	2880	Starmetal Ore	1200	Iron Ore	4800	Refining Materials Tier 5	800	Masterwork Material Converter	40	Ironwood	8100	Sandpaper	525	Wyrdwood	900	Aged Wood	1200	Green Wood	2400	Iron Hide	3200	Refining Materials Tier 3	3500	Common Material Converter	175	Rawhide	1600	Thick Hide	300	Intricate Firearm Lock	1	Fragmented Musket	1																
Echo of Grace	Flux	35	Wood	140	Starmetal Ore	60	Iron Ore	240	Orichalcum Ore	1040	Iron Hide	500	Life Crystal Core	1	Ironwood	8100	Sandpaper	525	Wyrdwood	900	Aged Wood	1200	Green Wood	2400	Refining Materials Tier 5	300	Masterwork Material Converter	15	Life Mote	1200																								
Breach Hunter's Fire Staff	Fire Mote	100	Flux	9	Wood	20	Iron Ore	60	Petrified Wood	2	Aged Wood	60	Sandpaper	15	Green Wood	120	Whisperwood	4	Silver Ore	32	Gold Ore	20																																
Syndicate Chronicler Jacket of the Cleric	Azoth	50	Syndicate Chronicler Jacket of the Priest	1	Syndicate Cleric Seal	1																																																
Pattern: Sage Husk Robe	Pattern: Sage Husk Robe	1																																																				
Layered Fur Gloves	Metals	1	Leathers	2	Tier 4 Furs	6																																																
Infused Fur Boots	Tier 5 Furs	6	Metals	1	Leathers	2																																																
Covenant Templar Jacket of the Priest	Covenant Templar Jacket of the Priest	1																																																				
Syndicate Adept Handcovers of the Brigand	Syndicate Adept Handcovers of the Priest	1	Syndicate Brigand Seal	1	Azoth	50																																																
Syndicate Plague Doctor Robes of the Brigand	Syndicate Brigand Seal	1	Azoth	50	Syndicate Plague Doctor Robes of the Sentry	1																																																
Lazarus Tuning Orb	Corrupted Sliver	120	Asmodeum Chisel	1	Lodestone	1280	Sandpaper	625	Stone	6400	Refining Materials Tier 5	100	Masterwork Material Converter	5	Glowing Spore	3	Soul Mote	120	Blight Seeds	6	Death Mote	120	Life Mote	120	Earth Totem	3	Fire Mote	10	Earth Mote	10	Water Mote	10	Air Mote	10																				
Covenant Excubitor Jacket of the Barbarian	Covenant Excubitor Jacket of the Priest	1	Azoth	50	Covenant Barbarian Seal	1																																																
Rugged Fur Coat	Tier 3 Furs	26	Metals	1	Leathers	8																																																
Pristine Aquamarine	Water Mote	260	Solvent	52	Flawed Aquamarine	60																																																
Syndicate Plague Doctor Robes of the Sentry	Syndicate Plague Doctor Robes of the Sentry	1																																																				
Tier 4 Cloth	Tier 4 Cloth	1																																																				
Covenant Initiate Pants of the Cleric	Azoth	50	Covenant Initiate Pants of the Brigand	1	Covenant Cleric Seal	1																																																
Marauder Ravager Boots of the Occultist	Marauder Occultist Seal	1	Marauder Ravager Boots of the Barbarian	1	Azoth	50																																																
Dove Gray Dye	Black Pigment	2	Orange Pigment	1	Water	3																																																
Teak Carved Canopy Bed	Flux	15	Wood	60	Iron Ore	180	Aged Wood	120	Sandpaper	30	Green Wood	240	Refining Materials Tier 3	400	Common Material Converter	20	Oil	8																																				
Syndicate Scrivener Headwear of the Priest	Syndicate Scrivener Headwear of the Priest	1																																																				
Basic Skinning Gathering Trophy	Notes on Aeternum Fauna	1	Refining Materials Tier 3	200	Common Material Converter	10	Oil	8	Air Mote	25	Flux	80	Wood	320	Iron Ore	720	Aged Wood	300	Sandpaper	100	Green Wood	600	Wyrdwood	150	Starmetal Ore	120	Refining Materials Tier 4	200	Advanced Material Converter	10																								
Jade Apothecary Cabinet	Refining Materials Tier 5	400	Masterwork Material Converter	20	Oil	8	Ironwood	280	Sandpaper	245	Wyrdwood	420	Aged Wood	560	Green Wood	1120	Flux	70	Wood	280	Starmetal Ore	120	Iron Ore	480	Orichalcum Ore	80																												
Lava Barb	Lava Barb	1																																																				
Beasthunter Garb of the Soldier	Iron Battle Medal	10	Metals	1	Timeless Leather Coat Shard	1	Cloth	8	Tier 5 Leather	26																																												
Dryad Stalker Gloves	Metals	1	Sticky Vines	10	Tier 5 Leather	4	Cloth	4																																														
Graverobber's Spear	Pattern: Graverobber's Spear	1	Orichalcum Ore	8100	Flux	525	Wood	2160	Starmetal Ore	900	Iron Ore	3600	Refining Materials Tier 5	1200	Masterwork Material Converter	60	Azoth	225	Iron Hide	3240	Refining Materials Tier 3	4200	Common Material Converter	210	Rawhide	1920	Thick Hide	360	Ironwood	21060	Sandpaper	1365	Wyrdwood	2340	Aged Wood	3120	Green Wood	6240																
Pattern: Dryad's Musket	Pattern: Dryad's Musket	1																																																				
Cherry Sheets Bunk Bed	Refining Materials Tier 3	400	Common Material Converter	20	Oil	8	Aged Wood	140	Sandpaper	35	Green Wood	280	Iron Ore	40																																								
Tier 2 Metals	Tier 2 Metals	1																																																				
Infused Leather Corrupted Fetish	Rough Leather Corrupted Fetish	60	Common Transmutation Catalyst	12	Greater Transmutation Catalyst	3	Grand Transmutation Catalyst	1																																														
Marauder Soldier Boots of the Occultist	Marauder Occultist Seal	1	Marauder Soldier Boots of the Barbarian	1	Azoth	50																																																
Vegetable Stockpile	Onion	15	Cooking Recipe	1	Garlic	15	Corn	15	Carrot	15																																												
Covenant Adjudicator Hat of the Cleric	Azoth	50	Covenant Adjudicator Hat of the Brigand	1	Covenant Cleric Seal	1																																																
Cyan Pigment	Cyan Pigment	1																																																				
Marauder Destroyer Headwear of the Occultist	Marauder Occultist Seal	1	Marauder Destroyer Headwear of the Priest	1	Azoth	50																																																
Infused Leather Boots of the Soldier	Tier 5 Leather	5	Iron Battle Medal	10	Metals	1	Cloth	3	Timeless Boots Shard	1																																												
Padded Flawed Jasper Ring	Precious Metals	1	Trinket Bands	1	Air Mote	2	Flawed Jasper	1	Trinket Gem Settings	1																																												
Bloody Velvet Stool	Flux	70	Wood	280	Starmetal Ore	120	Iron Ore	480	Orichalcum Ore	80	Ironwood	120	Sandpaper	105	Wyrdwood	180	Aged Wood	240	Green Wood	480	Refining Materials Tier 5	200	Masterwork Material Converter	10	Oil	4																												
Asmodeum Setting	Orichalcum Ore	2160	Flux	140	Wood	576	Starmetal Ore	240	Iron Ore	960	Refining Materials Tier 5	80	Masterwork Material Converter	4																																								
Marauder Soldier Legguards of the Occultist	Marauder Occultist Seal	1	Marauder Soldier Legguards of the Barbarian	1	Azoth	50																																																
Iron Plate Breastplate	Leathers	12	Cloth	7	Tier 2 Metals	16																																																
Marauder Gladiator Hat of the Brigand	Marauder Gladiator Hat of the Brigand	1																																																				
Pattern: Aegis of Ice	Pattern: Aegis of Ice	1																																																				
Tempered Flawed Emerald Amulet	Trinket Chains	1	Precious Metals	1	Trinket Gem Settings	1	Flawed Emerald	1	Earth Mote	2																																												
Brilliant Sapphire	Solvent	10	Flawed Sapphire	12	Death Mote	40																																																
Pristine Bear Claw	Pristine Bear Claw	1																																																				
Starmetal Nails																																																						
Iceproof Brilliant Aquamarine Amulet	Flawed Aquamarine	12	Solvent	12	Water Mote	80	Trinket Chains	1	Precious Metals	1	Trinket Gem Settings	1																																										
Infused Fur Hat of the Sentry	Iron Guardsman's Insignia	10	Metals	1	Tier 5 Leather	12	Cloth	4	Timeless Leather Hat Shard	1																																												
Putrid Bark	Putrid Bark	1																																																				
Marauder Ravager Coat of the Brigand	Marauder Ravager Coat of the Brigand	1																																																				
Amrine Tuning Orb	Iron Chisel	1	Life Mote	10	Soul Mote	10	Death Mote	10	Stone	200	Corrupted Sliver	10																																										
Master Cryomancer's Gauntlet	Iron Hide	8600	Refining Materials Tier 5	400	Masterwork Material Converter	20	Refining Materials Tier 3	10500	Common Material Converter	525	Rawhide	4800	Thick Hide	900	Ironwood	1000	Water Mote	1200	Ice Crystal Core	1	Orichalcum Ore	2700	Flux	175	Wood	720	Starmetal Ore	300	Iron Ore	1200																								
Swashbuckler Gloves	Wirefiber	6480	Cloth Weave	420	Fibers	3840	Silk Threads	720	Refining Materials Tier 5	540	Masterwork Material Converter	27	Orichalcum Ore	1620	Flux	105	Wood	432	Starmetal Ore	180	Iron Ore	720	Pattern: Swashbuckler Gloves	1	Azoth	225	Iron Hide	6480	Refining Materials Tier 3	8400	Common Material Converter	420	Rawhide	3840	Thick Hide	720																		
Orichalcum Plate Breastplate	Leathers	12	Cloth	7	Tier 5 Metals	16																																																
Voidbent Shoes	Runic Thread	2	Iron Hide	1080	Refining Materials Tier 5	180	Masterwork Material Converter	9	Refining Materials Tier 3	1400	Common Material Converter	70	Rawhide	640	Thick Hide	120	Wirefiber	4740	Cloth Weave	210	Fibers	1920	Silk Threads	360	Life Mote	100	Soul Mote	100	Death Mote	100	Fire Mote	100	Earth Mote	100	Water Mote	100	Air Mote	100	Void Ore	1	Void Essence	1	Orichalcum Ore	540	Flux	35	Wood	144	Starmetal Ore	60	Iron Ore	240		
Comet Dye	Turquoise Pigment	1	Blue Pigment	2	Water	3																																																
Syndicate Cabalist Breastplate of the Occultist	Syndicate Occultist Seal	1	Syndicate Cabalist Breastplate of the Barbarian	1	Azoth	50																																																
Covenant Excubitor Handcovers of the Barbarian	Azoth	50	Covenant Barbarian Seal	1	Covenant Excubitor Handcovers of the Priest	1																																																
Rugged Leather Pants	Tier 3 Leather	10	Cloth	6	Metals	2																																																
Steel Logging Axe	Refined Wood	3	Leathers	2	Tier 3 Metals	13																																																
Shipyard Guard Helm	Tier 4 Metals	8	Leathers	6	Jade Collar	10	Cloth	4																																														
Orichalcum Chain	Flux	56	Wood	224	Starmetal Ore	96	Iron Ore	384	Orichalcum Ore	64																																												
Fur-Lined Orichalcum Boots of the Soldier	Iron Battle Medal	10	Timeless Greaves Shard	1	Leathers	2	Tier 5 Metals	6	Cloth	1																																												
Whisperwood	Whisperwood	1																																																				
Infused Fur Boots of the Soldier	Iron Battle Medal	10	Metals	1	Cloth	2	Tier 5 Leather	6	Timeless Boots Shard	1																																												
Covenant Initiate Footwear of the Occultist	Covenant Occultist Seal	1	Azoth	50	Covenant Initiate Footwear of the Priest	1																																																
Pattern: Obelisk Priest's Pants	Pattern: Obelisk Priest's Pants	1																																																				
Syndicate Adept Pants of the Barbarian	Syndicate Adept Pants of the Brigand	1	Azoth	50	Syndicate Barbarian Seal	1																																																
Marauder Gladiator Coat of the Cleric	Marauder Cleric Seal	1	Azoth	50	Marauder Gladiator Coat of the Brigand	1																																																
Iron Hatchet	Refined Wood	2	Leathers	1	Tier 2 Metals	7																																																
Meatloaf	Onion	1	Venison	1	Tomato	1	Egg	1	Yeast	1	Cooked Grain	2																																										
Iceproof Pristine Aquamarine Amulet of the Sentry	Timeless Amulet Shard	1	Iron Guardsman's Insignia	10	Trinket Chains	1	Precious Metals	1	Solvent	54	Water Mote	440	Flawed Aquamarine	60	Trinket Gem Settings	1																																						
Steel Arrow	Feathers	3	Aged Wood	8	Sandpaper	2	Green Wood	16	Flux	3	Wood	12	Iron Ore	36																																								
Syndicate Cabalist Handcovers of the Brigand	Syndicate Brigand Seal	1	Azoth	50	Syndicate Cabalist Handcovers of the Priest	1																																																
Royal Party Spread	Elegant Party Spread	1																																																				
Shadewalker Handwraps of the Sentry	Iron Guardsman's Insignia	10	Metals	1	Leathers	2	Timeless Gloves Shard	1	Tier 5 Cloth	6																																												
Infused Silk Shoes of the Soldier	Iron Battle Medal	10	Metals	1	Tier 5 Cloth	5	Timeless Shoes Shard	1	Leathers	3																																												
Flawed Pearl Earring	Flawed Pearl	1	Precious Metals	1	Trinket Hooks	1	Trinket Gem Settings	1																																														
Eternal Dusk	Empowered Counterbalance	1	Orichalcum Ore	11800	Flux	700	Wood	2880	Starmetal Ore	1200	Iron Ore	4800	Refining Materials Tier 5	800	Masterwork Material Converter	40	Iron Hide	8600	Refining Materials Tier 3	10500	Common Material Converter	525	Rawhide	4800	Thick Hide	900	Ironwood	2700	Sandpaper	175	Wyrdwood	300	Aged Wood	400	Green Wood	800																		
Notes on Aeternum Fauna	Notes on Aeternum Fauna	1																																																				
Large Appetizer	Large Appetizer	1																																																				
Softwood Tree Sap	Softwood Tree Sap	1																																																				
Burnished Pristine Moonstone Earring	Solvent	54	Flawed Moonstone	60	Death Mote	440	Precious Metals	1	Trinket Hooks	1	Trinket Gem Settings	1																																										
Orichalcum Plate Greaves of the Scholar	Leathers	6	Tier 5 Metals	10	Cloth	2	Timeless Legguards Shard	1	Linen Arcane Embroidery	10																																												
Syndicate Adept Gloves of the Barbarian	Azoth	50	Syndicate Barbarian Seal	1	Syndicate Adept Gloves of the Brigand	1																																																
Pattern: Dryad's Kite Shield	Pattern: Dryad's Kite Shield	1																																																				
Pattern: Everchill Cleaver	Pattern: Everchill Cleaver	1																																																				
Covenant Lumen Breastplate of the Barbarian	Covenant Lumen Breastplate of the Barbarian	1																																																				
Maker's Mark	Iron Hide	4820	Embossed Wrapping	1	Orichalcum Ore	8560	Refining Materials Tier 5	500	Masterwork Material Converter	25	Refining Materials Tier 3	5600	Common Material Converter	280	Rawhide	2560	Thick Hide	480	Flux	490	Wood	2016	Starmetal Ore	840	Iron Ore	3360	Ironwood	1620	Sandpaper	105	Wyrdwood	180	Aged Wood	240	Green Wood	480																		
Set of Stout Crude Iron Armor	Rawhide	15	Iron Ore	7	Fibers	8	Armorsmithing Work Order	1																																														
Seafoam Ragged Curtains	Flux	35	Wood	140	Starmetal Ore	60	Iron Ore	240	Orichalcum Ore	40	Yellow Pigment	3	Wirefiber	120	Cloth Weave	105	Fibers	960	Silk Threads	180																																		
Cauliflower	Cauliflower	1																																																				
Pattern: Dryad's Hatchet	Pattern: Dryad's Hatchet	1																																																				
Pattern: Primal Husk Boots	Pattern: Primal Husk Boots	1																																																				
Pillaging Crude Iron Armaments	Rawhide	25	Weaponsmithing Work Order	1	Green Wood	40	Iron Ore	25																																														
Marauder Soldier Hat of the Cleric	Marauder Soldier Hat of the Brigand	1	Marauder Cleric Seal	1	Azoth	50																																																
Steel Cartridge	Fibers	32	Cloth Weave	2	Flux	3	Wood	22	Iron Ore	36	Flint	2	Saltpeter	1																																								
Syndicate Scrivener Jacket of the Priest	Syndicate Scrivener Jacket of the Priest	1																																																				
Work Order: Iron Sewing Needles	Work Order: Iron Sewing Needles	1																																																				
Spectral Pristine Malachite Ring of the Ranger	Rough Leather Beaded Straps	10	Timeless Ring Shard	1	Precious Metals	1	Flawed Malachite	60	Soul Mote	440	Solvent	54	Trinket Bands	1	Trinket Gem Settings	1																																						
Old Wooden Bunk Bed	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Aged Wood	160	Sandpaper	40	Green Wood	320	Flux	35	Wood	140	Starmetal Ore	60	Iron Ore	240	Orichalcum Ore	40																																
Battle's Embrace Greaves	Reforged Plating	14	Battle's Embrace Work Order	1	Baneseed Oil	12	Attuned Starmetal	13																																														
Turkey and Stuffing with Mushroom Gravy	Poultry Breast	1	Seasonings	1	Onion	1	Milk	2	Mushroom	1	Yeast	1	Cooked Grain	2																																								
Melon Infusion	Nutmeg	1	Honey	1	Water	1	Melon	1	Cinnamon	1																																												
Covenant Lumen Coat of the Occultist	Covenant Occultist Seal	1	Azoth	50	Covenant Lumen Coat of the Brigand	1																																																
Standard Repair Kit	Repair Parts	40	Any Craft Mods	1																																																		
Iceproof Pristine Aquamarine Earring of the Sage	Precious Metals	1	Trinket Hooks	1	Solvent	54	Water Mote	440	Flawed Aquamarine	60	Softwood Prayer Beads	10	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Orichalcum Musket of the Soldier	Iron Battle Medal	10	Refined Wood	3	Leathers	2	Timeless Musket Shard	1	Tier 5 Metals	15																																												
Tempered Pristine Emerald Amulet of the Soldier	Timeless Amulet Shard	1	Trinket Chains	1	Iron Battle Medal	10	Earth Mote	440	Solvent	54	Flawed Emerald	60	Precious Metals	1	Trinket Gem Settings	1																																						
Fish Filet	Fish Filet	1																																																				
Linen Dress	Tier 2 Cloth	22	Leathers	12	Metals	1																																																
Dryad Stalker Hat	Tier 5 Leather	11	Metals	1	Sticky Vines	10	Cloth	6																																														
Syndicate Cabalist Gloves of the Brigand	Syndicate Cabalist Gloves of the Brigand	1																																																				
Marauder Gladiator Gloves of the Cleric	Marauder Cleric Seal	1	Azoth	50	Marauder Gladiator Gloves of the Brigand	1																																																
Infused Leather Boots of the Ranger	Tier 5 Leather	5	Rough Leather Beaded Straps	10	Metals	1	Cloth	3	Timeless Boots Shard	1																																												
Orichalcum Longsword	Refined Wood	2	Tier 5 Metals	10	Leathers	1																																																
Syndicate Cabalist Jacket of the Priest	Syndicate Cabalist Jacket of the Priest	1																																																				
Shipyard Sentinel Longsword	Refined Wood	2	Tier 4 Metals	9	Jade Collar	10	Leathers	1	Jade Talisman	1																																												
Medicinal Reagents	Medicinal Reagents	1																																																				
Gypsum Shield Cast	Ruby Gypsum	2																																																				
Spectral Pristine Malachite Amulet	Trinket Chains	1	Precious Metals	1	Flawed Malachite	60	Soul Mote	440	Solvent	54	Trinket Gem Settings	1																																										
Iceproof Pristine Aquamarine Earring of the Soldier	Iron Battle Medal	10	Precious Metals	1	Trinket Hooks	1	Solvent	54	Water Mote	440	Flawed Aquamarine	60	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Animal Horn	Animal Horn	1																																																				
Orichalcum Hatchet	Refined Wood	2	Tier 5 Metals	10	Leathers	1																																																
Covenant Initiate Legguards of the Barbarian	Covenant Initiate Legguards of the Barbarian	1																																																				
Infused Silk Robe of the Soldier	Iron Battle Medal	10	Metals	1	Timeless Robes Shard	1	Tier 5 Cloth	26	Leathers	8																																												
Marauder Soldier Shoes of the Brigand	Marauder Soldier Shoes of the Brigand	1																																																				
Advanced Material Converter	Advanced Material Converter	1																																																				
Covenant Templar Coat of the Cleric	Covenant Templar Coat of the Brigand	1	Azoth	50	Covenant Cleric Seal	1																																																
Syndicate Adept Boots of the Barbarian	Syndicate Adept Boots of the Barbarian	1																																																				
Covenant Templar Coat of the Brigand	Covenant Templar Coat of the Brigand	1																																																				
Marauder Destroyer Footwear of the Brigand	Marauder Destroyer Footwear of the Priest	1	Marauder Brigand Seal	1	Azoth	50																																																
Marauder Commander Boots of the Brigand	Marauder Brigand Seal	1	Azoth	50	Marauder Commander Boots of the Barbarian	1																																																
Infused Silk Gloves of the Sentry	Iron Guardsman's Insignia	10	Tier 5 Cloth	4	Metals	1	Leathers	4	Timeless Gloves Shard	1																																												
Covenant Excubitor Legguards of the Brigand	Covenant Brigand Seal	1	Azoth	50	Covenant Excubitor Legguards of the Barbarian	1																																																
Spectral Pristine Malachite Amulet of the Sage	Timeless Amulet Shard	1	Trinket Chains	1	Precious Metals	1	Flawed Malachite	60	Soul Mote	440	Solvent	54	Softwood Prayer Beads	10	Trinket Gem Settings	1																																						
Tempered Pristine Emerald Earring of the Ranger	Rough Leather Beaded Straps	10	Earth Mote	440	Solvent	54	Flawed Emerald	60	Precious Metals	1	Trinket Hooks	1	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Sateen Robe Gloves	Tier 3 Cloth	6	Metals	1	Leathers	2																																																
Marauder Ravager Shoes of the Brigand	Marauder Ravager Shoes of the Brigand	1																																																				
Covenant Inquisitor Coat of the Sentry	Covenant Inquisitor Coat of the Sentry	1																																																				
Shadewalker Handwraps of the Soldier	Iron Battle Medal	10	Metals	1	Leathers	2	Timeless Gloves Shard	1	Tier 5 Cloth	6																																												
Corrupted Life Staff	Flux	9	Wood	20	Iron Ore	60	Aged Wood	60	Sandpaper	15	Green Wood	120	Life Mote	100	Silver Ore	32	Gold Ore	20	Voidmetal	4	Fae Iron	2																																
Syndicate Cabalist Gauntlets of the Occultist	Syndicate Occultist Seal	1	Azoth	50	Syndicate Cabalist Gauntlets of the Barbarian	1																																																
Basic Loot Luck Trophy	Refining Materials Tier 3	200	Common Material Converter	10	Oil	8	Rabbit's Foot	1	Flux	80	Wood	320	Iron Ore	720	Aged Wood	300	Sandpaper	100	Green Wood	600	Wyrdwood	150	Starmetal Ore	120	Stacked Deck	1	Refining Materials Tier 4	200	Advanced Material Converter	10																								
Fur-Lined Orichalcum Breastplate of the Sage	Tier 5 Metals	20	Cloth	7	Leathers	8	Softwood Prayer Beads	10	Timeless Breastplate Shard	1																																												
Ironwood Fishing Pole	Cloth	2	Tier 5 Timber	15	Leathers	3																																																
Strong Nature Absorption Potion	Earth Reagents	1	Water	1	Tier 3 Protective Reagents	1																																																
Syndicate Plague Doctor Gloves of the Cleric	Syndicate Plague Doctor Gloves of the Sentry	1	Azoth	50	Syndicate Cleric Seal	1																																																
Squid Meat	Squid Meat	1																																																				
Tier 3 Earth Reagents	Tier 3 Earth Reagents	1																																																				
Steel Sewing Needles	Work Order: Steel Sewing Needles	1																																																				
Primeval Flawed Diamond Amulet	Trinket Chains	1	Flawed Diamond	1	Life Mote	2	Precious Metals	1	Trinket Gem Settings	1																																												
Padded Pristine Jasper Amulet of the Scholar	Timeless Amulet Shard	1	Trinket Chains	1	Precious Metals	1	Solvent	54	Air Mote	440	Flawed Jasper	60	Trinket Gem Settings	1	Linen Arcane Embroidery	10																																						
Fireproof Ruby Amulet	Trinket Chains	1	Precious Metals	1	Solvent	4	Fire Mote	15	Flawed Ruby	3	Trinket Gem Settings	1																																										
Ancient Silver Talisman	Ancient Wooden Talisman	5	Common Transmutation Catalyst	1																																																		
Syndicate Alchemist Breastplate of the Occultist	Syndicate Occultist Seal	1	Azoth	50	Syndicate Alchemist Breastplate of the Barbarian	1																																																
Syndicate Adept Helm of the Occultist	Syndicate Occultist Seal	1	Syndicate Adept Helm of the Barbarian	1	Azoth	50																																																
Major Corrupted Combat Trophy	Ironwood	200	Sandpaper	275	Wyrdwood	450	Aged Wood	700	Green Wood	1400	Flux	220	Wood	880	Starmetal Ore	360	Iron Ore	1680	Orichalcum Ore	160	Corrupted Totem	1	Refining Materials Tier 5	200	Masterwork Material Converter	10	Oil	12	Refining Materials Tier 3	200	Common Material Converter	10	Life Mote	25	Corrupted Crest	1	Refining Materials Tier 4	200	Advanced Material Converter	10														
Cut Flawed Ruby	Fire Mote	2	Flawed Ruby	1																																																		
Roasted Broccoli	Salt	1	Milk	2	Broccoli	1																																																
Garden Keeper Spear	Putrid Bark	1	Refined Wood	3	Leathers	2	Sticky Vines	10	Tier 5 Metals	15																																												
Iron Corrupted Casing	Iron Corrupted Casing	1																																																				
Iceproof Pristine Aquamarine Earring of the Scholar	Precious Metals	1	Trinket Hooks	1	Solvent	54	Water Mote	440	Flawed Aquamarine	60	Trinket Gem Settings	1	Linen Arcane Embroidery	10	Timeless Earring Shard	1																																						
Gypsum Spear Cast	Ruby Gypsum	2																																																				
Marauder Soldier Gauntlets of the Cleric	Marauder Soldier Gauntlets of the Barbarian	1	Marauder Cleric Seal	1	Azoth	50																																																
Minor Harvesting Gathering Trophy	Water Mote	25	Refining Materials Tier 3	200	Common Material Converter	10	Oil	4	Flux	20	Wood	80	Iron Ore	240	Aged Wood	100	Sandpaper	25	Green Wood	200																																		
Painted Teak Chest	Flux	15	Wood	60	Iron Ore	180	Aged Wood	120	Sandpaper	30	Green Wood	240	Refining Materials Tier 3	400	Common Material Converter	20	Oil	8																																				
Syndicate Chronicler Gauntlets of the Cleric	Syndicate Chronicler Gauntlets of the Barbarian	1	Azoth	50	Syndicate Cleric Seal	1																																																
