name,base_ingredient_1_name,base_ingredient_1_qty,base_ingredient_2_name,base_ingredient_2_qty,base_ingredient_3_name,base_ingredient_3_qty,base_ingredient_4_name,base_ingredient_4_qty,base_ingredient_5_name,base_ingredient_5_qty,base_ingredient_6_name,base_ingredient_6_qty,base_ingredient_7_name,base_ingredient_7_qty,base_ingredient_8_name,base_ingredient_8_qty,base_ingredient_9_name,base_ingredient_9_qty,base_ingredient_10_name,base_ingredient_10_qty,base_ingredient_11_name,base_ingredient_11_qty,base_ingredient_12_name,base_ingredient_12_qty,base_ingredient_13_name,base_ingredient_13_qty,base_ingredient_14_name,base_ingredient_14_qty,base_ingredient_15_name,base_ingredient_15_qty,base_ingredient_16_name,base_ingredient_16_qty,base_ingredient_17_name,base_ingredient_17_qty,base_ingredient_18_name,base_ingredient_18_qty,base_ingredient_19_name,base_ingredient_19_qty,base_ingredient_20_name,base_ingredient_20_qty,base_ingredient_21_name,base_ingredient_21_qty,base_ingredient_22_name,base_ingredient_22_qty,base_ingredient_23_name,base_ingredient_23_qty,base_ingredient_24_name,base_ingredient_24_qty,base_ingredient_25_name,base_ingredient_25_qty,base_ingredient_26_name,base_ingredient_26_qty,base_ingredient_27_name,base_ingredient_27_qty
Marauder Gladiator Legguards of the Cleric,Marauder Cleric Seal,1.0,Azoth,50.0,Marauder Gladiator Legguards of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Cooking Crafting Trophy,Water Mote,25.0,Refining Materials Tier 3,200.0,Common Material Converter,10.0,Oil,12.0,Flux,220.0,Wood,880.0,Iron Ore,1680.0,Aged Wood,700.0,Sandpaper,275.0,Green Wood,1400.0,Chef's Secret Techniques,1.0,Wyrdwood,450.0,Starmetal Ore,360.0,Refining Materials Tier 4,200.0,Advanced Material Converter,10.0,Ironwood,200.0,Chef's Secret Cookbook,1.0,Orichalcum Ore,160.0,Refining Materials Tier 5,200.0,Masterwork Material Converter,10.0,,,,,,,,,,,,,,
Shrouded Intent Pants,Castaway Rigging,12.0,Nightstone Slivers,14.0,Shrouded Intent Work Order,1.0,Murkmoss Extract,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pristine Diamond,Flawed Diamond,60.0,Solvent,52.0,Life Mote,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Husk Leggings,Wirefiber,9720.0,Cloth Weave,630.0,Fibers,5760.0,Silk Threads,1080.0,Refining Materials Tier 5,1080.0,Masterwork Material Converter,54.0,Iron Hide,16200.0,Refining Materials Tier 3,21000.0,Common Material Converter,1050.0,Rawhide,9600.0,Thick Hide,1800.0,Pattern: Primal Husk Leggings,1.0,Azoth,225.0,Orichalcum Ore,3240.0,Flux,210.0,Wood,864.0,Starmetal Ore,360.0,Iron Ore,1440.0,,,,,,,,,,,,,,,,,,
Fried Albenaja,Albenaja,1.0,Seasonings,1.0,Cabbage,1.0,Nut,1.0,Fish Oil,2.0,Cauliflower,1.0,Egg,1.0,Cooked Grain,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Alchemist Handcovers of the Occultist,Syndicate Alchemist Handcovers of the Priest,1.0,Syndicate Occultist Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Round Shield of the Sage,Refined Wood,2.0,Timeless Round Shield Shard,1.0,Tier 5 Metals,10.0,Leathers,1.0,Softwood Prayer Beads,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Gauntlets of the Brigand,Marauder Gladiator Gauntlets of the Barbarian,1.0,Marauder Brigand Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Initiate Jacket of the Occultist,Covenant Occultist Seal,1.0,Azoth,50.0,Covenant Initiate Jacket of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonerend,Empowered Counterbalance,1.0,Orichalcum Ore,11800.0,Flux,700.0,Wood,2880.0,Starmetal Ore,1200.0,Iron Ore,4800.0,Refining Materials Tier 5,800.0,Masterwork Material Converter,40.0,Iron Hide,8600.0,Refining Materials Tier 3,10500.0,Common Material Converter,525.0,Rawhide,4800.0,Thick Hide,900.0,Ironwood,2700.0,Sandpaper,175.0,Wyrdwood,300.0,Aged Wood,400.0,Green Wood,800.0,,,,,,,,,,,,,,,,,,
Covenant Initiate Gloves of the Barbarian,Azoth,50.0,Covenant Barbarian Seal,1.0,Covenant Initiate Gloves of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Leggings of the Occultist,Marauder Occultist Seal,1.0,Marauder Destroyer Leggings of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,Stone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linen Hat,Metals,1.0,Leathers,6.0,Tier 2 Cloth,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerful Beast Coating,Tier 4 Offensive Reagents,1.0,Oil,1.0,Air Reagents,1.0,Death Reagents,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Harvesting Sickle,Refined Wood,2.0,Tier 5 Metals,10.0,Leathers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faedragon's Claw,Orichalcum Ore,11800.0,Flux,700.0,Wood,2880.0,Starmetal Ore,1200.0,Iron Ore,4800.0,Refining Materials Tier 5,800.0,Masterwork Material Converter,40.0,Embossed Wrapping,1.0,Ironwood,8100.0,Sandpaper,525.0,Wyrdwood,900.0,Aged Wood,1200.0,Green Wood,2400.0,Iron Hide,3200.0,Refining Materials Tier 3,3500.0,Common Material Converter,175.0,Rawhide,1600.0,Thick Hide,300.0,,,,,,,,,,,,,,,,,,
Covenant Lumen Pants of the Cleric,Covenant Lumen Pants of the Brigand,1.0,Azoth,50.0,Covenant Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hangman's Binding,Hangman's Binding,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impaling Iron Armaments,Weaponsmithing Work Order,1.0,Green Wood,16.0,Rawhide,48.0,Iron Ore,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Pristine Malachite Ring,Precious Metals,1.0,Flawed Malachite,60.0,Soul Mote,440.0,Solvent,54.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Soldier Headwear of the Priest,Marauder Soldier Headwear of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Chain,Silver Ore,48.0,Flux,6.0,Gold Ore,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool Violet Dye,Water,3.0,Cyan Pigment,1.0,Purple Pigment,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Initiate Shoes of the Barbarian,Azoth,50.0,Covenant Barbarian Seal,1.0,Covenant Initiate Shoes of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese Bait,Seasonings,2.0,Yeast,3.0,Milk,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Initiate Headwear of the Occultist,Covenant Occultist Seal,1.0,Azoth,50.0,Covenant Initiate Headwear of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albenaja,Albenaja,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempered Brilliant Emerald Amulet,Trinket Chains,1.0,Earth Mote,80.0,Solvent,12.0,Flawed Emerald,12.0,Precious Metals,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swashbuckler Shoes,Orichalcum Ore,1620.0,Flux,105.0,Wood,432.0,Starmetal Ore,180.0,Iron Ore,720.0,Refining Materials Tier 5,540.0,Masterwork Material Converter,27.0,Iron Hide,8100.0,Refining Materials Tier 3,10500.0,Common Material Converter,525.0,Rawhide,4800.0,Thick Hide,900.0,Pattern: Swashbuckler Shoes,1.0,Azoth,225.0,Wirefiber,4860.0,Cloth Weave,315.0,Fibers,2880.0,Silk Threads,540.0,,,,,,,,,,,,,,,,,,
Reinforced Pristine Onyx Ring of the Soldier,Iron Battle Medal,10.0,Timeless Ring Shard,1.0,Precious Metals,1.0,Trinket Bands,1.0,Life Mote,440.0,Solvent,54.0,Flawed Onyx,60.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Regeneration Potion,Medicinal Reagents,1.0,Spirit Reagents,1.0,Life Reagents,1.0,Azoth Water,1.0,Water,1.0,Hyssop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Harvesting Gathering Trophy,Ironwood,200.0,Sandpaper,275.0,Wyrdwood,450.0,Aged Wood,700.0,Green Wood,1400.0,Flux,220.0,Wood,880.0,Starmetal Ore,360.0,Iron Ore,1680.0,Orichalcum Ore,160.0,Mercurial Token,1.0,Journal of Aeternum Flora,1.0,Water Mote,25.0,Refining Materials Tier 3,200.0,Common Material Converter,10.0,Oil,12.0,Refining Materials Tier 4,200.0,Advanced Material Converter,10.0,Refining Materials Tier 5,200.0,Masterwork Material Converter,10.0,,,,,,,,,,,,,,
Syndicate Cabalist Gauntlets of the Cleric,Azoth,50.0,Syndicate Cabalist Gauntlets of the Barbarian,1.0,Syndicate Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Iron Armaments,Rawhide,96.0,Iron Ore,36.0,Green Wood,28.0,Weaponsmithing Work Order,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Stockpile,Strawberry,15.0,Cooking Recipe,1.0,Orange,15.0,Cranberry,15.0,Blueberry,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Arcana,Life Arcana,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Soldier Jacket of the Brigand,Marauder Soldier Jacket of the Priest,1.0,Marauder Brigand Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holly Regent Footwear,Tier 5 Leather,5.0,Metals,1.0,Cloth,3.0,Pattern: Holly Regent Footwear,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Swashbuckler Gloves,Pattern: Swashbuckler Gloves,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Pants of the Brigand,Marauder Destroyer Pants of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafoam Velvet Captain's Bed,Flux,45.0,Wood,180.0,Starmetal Ore,90.0,Iron Ore,360.0,Refining Materials Tier 4,400.0,Advanced Material Converter,20.0,Oil,8.0,Wyrdwood,180.0,Sandpaper,90.0,Aged Wood,240.0,Green Wood,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teak Writing Desk,Flux,15.0,Wood,60.0,Iron Ore,180.0,Aged Wood,120.0,Sandpaper,30.0,Green Wood,240.0,Refining Materials Tier 3,400.0,Common Material Converter,20.0,Oil,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Lumen Pants of the Barbarian,Covenant Lumen Pants of the Brigand,1.0,Azoth,50.0,Covenant Barbarian Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodestone,Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Glazed Roasted Ham,Honey,1.0,Berry,1.0,Juicy Ham Hock,1.0,Cranberry,1.0,Blueberry,1.0,Milk,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Frilled Pants,Pattern: Frilled Pants,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade of l'Olonnois,Blade of l'Olonnois,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veilpiercer,Ironwood,12300.0,Enchanted Bow String,1.0,Wirefiber,8100.0,Cloth Weave,525.0,Fibers,4800.0,Silk Threads,900.0,Refining Materials Tier 5,800.0,Masterwork Material Converter,40.0,Sandpaper,700.0,Wyrdwood,1200.0,Aged Wood,1600.0,Green Wood,3200.0,Iron Hide,2700.0,Refining Materials Tier 3,3500.0,Common Material Converter,175.0,Rawhide,1600.0,Thick Hide,300.0,,,,,,,,,,,,,,,,,,,,
Iron Hinges,Work Order: Iron Hinges,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Templar Gauntlets of the Brigand,Covenant Brigand Seal,1.0,Azoth,50.0,Covenant Templar Gauntlets of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Soldier Leggings of the Brigand,Marauder Brigand Seal,1.0,Marauder Soldier Leggings of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Leggings of the Priest,Marauder Gladiator Leggings of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Ravager Jacket of the Brigand,Marauder Brigand Seal,1.0,Marauder Ravager Jacket of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall Harvest Turkey,Sage,1.0,Potato,1.0,Cranberry,1.0,Carrot,1.0,Parsley,1.0,Poultry Thigh,1.0,Thyme,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Band,Silver Ore,48.0,Flux,6.0,Gold Ore,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Inquisitor Boots of the Barbarian,Azoth,50.0,Covenant Barbarian Seal,1.0,Covenant Inquisitor Boots of the Sentry,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loaded Dice,Loaded Dice,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Compote,Honey,1.0,Tarragon,1.0,Cranberry,1.0,Lemon,1.0,Sugar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Fishing Gathering Trophy,Ironwood,200.0,Sandpaper,275.0,Wyrdwood,450.0,Aged Wood,700.0,Green Wood,1400.0,Taxidermied Daemonaja,1.0,Flux,220.0,Wood,880.0,Starmetal Ore,360.0,Iron Ore,1680.0,Orichalcum Ore,160.0,Refining Materials Tier 5,200.0,Masterwork Material Converter,10.0,Oil,12.0,Water Mote,25.0,Refining Materials Tier 3,200.0,Common Material Converter,10.0,Taxidermied Blue-blooded Barb,1.0,Refining Materials Tier 4,200.0,Advanced Material Converter,10.0,,,,,,,,,,,,,,
Syndicate Adept Helm of the Cleric,Syndicate Adept Helm of the Barbarian,1.0,Azoth,50.0,Syndicate Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Initiate Legguards of the Occultist,Covenant Occultist Seal,1.0,Covenant Initiate Legguards of the Barbarian,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Scrivener Gauntlets of the Cleric,Azoth,50.0,Syndicate Scrivener Gauntlets of the Barbarian,1.0,Syndicate Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Graverobber's Hatchet,Pattern: Graverobber's Hatchet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Gauntlets of the Barbarian,Marauder Gladiator Gauntlets of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeless Greaves Shard,Timeless Greaves Shard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk Shirt,Leathers,12.0,Metals,1.0,Tier 4 Cloth,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Roe,Fish Roe,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Fur Gloves of the Ranger,Rough Leather Beaded Straps,10.0,Timeless Leather Gloves Shard,1.0,Metals,1.0,Cloth,2.0,Tier 5 Leather,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Heavy Greaves,Leathers,4.0,Cloth,2.0,Tier 5 Metals,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Crystalline Gauntlet,Pattern: Crystalline Gauntlet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Excubitor Legguards of the Occultist,Covenant Occultist Seal,1.0,Azoth,50.0,Covenant Excubitor Legguards of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Flawed Sapphire Amulet,Trinket Chains,1.0,Precious Metals,1.0,Trinket Gem Settings,1.0,Death Mote,2.0,Flawed Sapphire,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Sapphire Amulet,Trinket Chains,1.0,Precious Metals,1.0,Death Mote,15.0,Flawed Sapphire,3.0,Solvent,4.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic First Aid Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Chronicler Handcovers of the Barbarian,Azoth,50.0,Syndicate Chronicler Handcovers of the Priest,1.0,Syndicate Barbarian Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Game Bird with Berry Glaze,Berry,1.0,Poultry,1.0,Peppercorn,1.0,Mint,1.0,Sugar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cereal Supplies,Cooking Recipe,1.0,Honey,12.0,Nut,12.0,Barley,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum War Hammer of the Sage,Refined Wood,3.0,Leathers,2.0,Tier 5 Metals,15.0,Softwood Prayer Beads,10.0,Timeless War Hammer Shard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Jacket of the Brigand,Marauder Brigand Seal,1.0,Azoth,50.0,Marauder Destroyer Jacket of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Ice Gauntlet,Metals,4.0,Water Arcana,6.0,Tier 2 Leather,8.0,Cloth,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Headwear of the Priest,Marauder Destroyer Headwear of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coarse Amethyst Dye,Blue Pigment,1.0,Water,3.0,Purple Pigment,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strong Regeneration Potion,Medicinal Reagents,1.0,Life Reagents,1.0,Water,1.0,Hyssop,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnished Pristine Moonstone Ring of the Scholar,Solvent,54.0,Flawed Moonstone,60.0,Death Mote,440.0,Timeless Ring Shard,1.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,Linen Arcane Embroidery,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Shoes of the Occultist,Marauder Occultist Seal,1.0,Marauder Gladiator Shoes of the Brigand,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waning Crescent,Wirefiber,500.0,Ironwood,9100.0,Sandpaper,525.0,Wyrdwood,900.0,Aged Wood,1200.0,Green Wood,2400.0,Refining Materials Tier 5,400.0,Masterwork Material Converter,20.0,Fire Mote,1200.0,Fire Crystal Core,1.0,Orichalcum Ore,2700.0,Flux,175.0,Wood,720.0,Starmetal Ore,300.0,Iron Ore,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Hatchet of the Soldier,Refined Wood,2.0,Iron Battle Medal,10.0,Timeless Hatchet Shard,1.0,Tier 5 Metals,10.0,Leathers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempered Brilliant Emerald Earring,Earth Mote,80.0,Solvent,12.0,Flawed Emerald,12.0,Precious Metals,1.0,Trinket Hooks,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Fur Coat of the Scholar,Metals,1.0,Timeless Leather Coat Shard,1.0,Cloth,8.0,Linen Arcane Embroidery,10.0,Tier 5 Leather,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasoned Leather Dye,Orange Pigment,2.0,Water,3.0,Purple Pigment,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Ravager Gauntlets of the Barbarian,Marauder Ravager Gauntlets of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obelisk Guard Life Staff,Tier 3 Timber,12.0,Sparkling Bone Dust,10.0,Leathers,6.0,Metals,5.0,Vial of Ancient Mutagen,1.0,Life Arcana,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Plague Doctor Pants of the Barbarian,Azoth,50.0,Syndicate Barbarian Seal,1.0,Syndicate Plague Doctor Pants of the Sentry,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Primal Husk Leggings,Pattern: Primal Husk Leggings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty Promise,Iron Hide,8100.0,Refining Materials Tier 5,400.0,Masterwork Material Converter,20.0,Refining Materials Tier 3,10500.0,Common Material Converter,525.0,Rawhide,4800.0,Thick Hide,900.0,Wirefiber,500.0,Void Crystal Core,1.0,Ironwood,1000.0,Orichalcum Ore,2700.0,Flux,175.0,Wood,720.0,Starmetal Ore,300.0,Iron Ore,1200.0,Death Mote,1200.0,,,,,,,,,,,,,,,,,,,,,,
Syndicate Cabalist Jacket of the Brigand,Syndicate Brigand Seal,1.0,Azoth,50.0,Syndicate Cabalist Jacket of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Commander Jacket of the Occultist,Marauder Occultist Seal,1.0,Marauder Commander Jacket of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepwarden's Battlebraces,Tier 4 Metals,4.0,Leathers,4.0,Corrupted Talisman,10.0,Cloth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Adjudicator Helm of the Barbarian,Covenant Adjudicator Helm of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treated Hobnails,Treated Hobnails,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Cabalist Coat of the Brigand,Syndicate Cabalist Coat of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Leggings of the Cleric,Marauder Gladiator Leggings of the Priest,1.0,Marauder Cleric Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Scrivener Shoes of the Cleric,Azoth,50.0,Syndicate Scrivener Shoes of the Brigand,1.0,Syndicate Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Moon's Curse,Flux,27.0,Wood,60.0,Starmetal Ore,30.0,Iron Ore,120.0,Death Mote,400.0,Refining Materials Tier 3,900.0,Common Material Converter,45.0,Rawhide,480.0,Thick Hide,90.0,Scalecord,2.0,Platinum Ore,24.0,Silver Ore,64.0,Gold Ore,40.0,Ebonwood,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Peach Dye,Water,3.0,Yellow Pigment,1.0,Red Pigment,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soaked Great Hammer,Orichalcum Ore,24300.0,Flux,1575.0,Wood,6480.0,Starmetal Ore,2700.0,Iron Ore,10800.0,Refining Materials Tier 5,1200.0,Masterwork Material Converter,60.0,Ironwood,4860.0,Sandpaper,315.0,Wyrdwood,540.0,Aged Wood,720.0,Green Wood,1440.0,Pattern: Soaked Great Hammer,1.0,Azoth,225.0,Iron Hide,3240.0,Refining Materials Tier 3,4200.0,Common Material Converter,210.0,Rawhide,1920.0,Thick Hide,360.0,,,,,,,,,,,,,,,,
Syndicate Chronicler Legguards of the Brigand,Syndicate Brigand Seal,1.0,Azoth,50.0,Syndicate Chronicler Legguards of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
